timestamp,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,gripper_cmd_0to1,gripper_activated,gripper_last_action,logging_active
2026-01-14 21:16:53.322,0.20324304751233016,0.8032032923772331,0.13013316623653076,0.2504500985365444,0.9607484324168145,0.1186917537490048,0.01222560197513646,2.905051795918601,-0.03596902241998954,2.635853052229909,1.0,0,init,1
2026-01-14 21:16:53.372,0.2079883372064883,0.8017398380532527,0.1262818468361329,0.2627224083352876,0.9577543819533163,0.11646210935234101,0.010957056764064773,2.910514956107901,-0.040216913703192775,2.6108098957642927,1.0,0,init,1
2026-01-14 21:16:53.422,0.21177676139735196,0.8004925019198887,0.12268673037184294,0.2711695049001003,0.9556640385443271,0.11433304508232837,0.010064782540306984,2.915479178328979,-0.04278321956568656,2.5934859911318617,1.0,0,init,1
2026-01-14 21:16:53.472,0.21462306787082985,0.7994495394419865,0.11904715978337282,0.2757505974878567,0.954616691833899,0.11215334376130483,0.009497743961136255,2.9202139683638095,-0.043733232596618404,2.584042974438859,1.0,0,init,1
2026-01-14 21:16:53.522,0.2166697209932388,0.7986094406984479,0.11525278042032672,0.27767749415726933,0.954329491562454,0.10985144439678433,0.009115423008734694,2.924966653719947,-0.04362214699610691,2.5800401854537958,1.0,0,init,1
2026-01-14 21:16:53.572,0.2182017879907216,0.7978238102469294,0.11100381301607565,0.27901520185750056,0.9542356607736515,0.10728127200310648,0.008691922554099177,2.930232328704817,-0.043291447776757856,2.577252268623412,1.0,0,init,1
2026-01-14 21:16:53.622,0.2196757579965211,0.7970648845029489,0.10645402609553906,0.281472024883686,0.9538213094627046,0.10456251532906713,0.008067788469440153,2.935943506648925,-0.04348609307160304,2.5721711767433084,1.0,0,init,1
2026-01-14 21:16:53.672,0.2213103931077265,0.7961209244776254,0.10131755265736883,0.28598060140947473,0.9528199908277636,0.10147577557303931,0.0071991435814132585,2.9425936504159105,-0.04433575421364516,2.5628465841256016,1.0,0,init,1
2026-01-14 21:16:53.722,0.22365581909517243,0.794938824278662,0.09494778157193076,0.29505216090231473,0.950456250676162,0.0976896979078829,0.005819005082820344,2.951103774337057,-0.046602560154787386,2.5440458224641307,1.0,0,init,1
2026-01-14 21:16:53.772,0.22651443705663776,0.7936609785704185,0.08811673914779464,0.3091724880965929,0.946372077838275,0.09368161475454112,0.004002243022317371,2.9605874499446685,-0.05037363492804155,2.514641483745688,1.0,0,init,1
2026-01-14 21:16:53.822,0.22976499994467856,0.7921205157096934,0.08099985175900581,0.3273554583269997,0.9406560066681383,0.08944863420084147,0.0019033817996630428,2.9709823936532493,-0.055009882164031784,2.4765003339014786,1.0,0,init,1
2026-01-14 21:16:53.872,0.23281652588699844,0.7903513957033131,0.07360727545317669,-0.3467598036898602,-0.9340975668080878,-0.08496652368229927,0.0002531432894142121,2.982078098233264,-0.05943385555181767,2.4354315057424762,1.0,0,init,1
2026-01-14 21:16:53.922,0.23563412106789033,0.7886212618302576,0.06631052591913097,-0.36530447746056666,-0.9273975989025561,-0.08050792096581942,0.0021924777758176757,2.9930299390481845,-0.06292792866525344,2.395798952601639,1.0,0,init,1
2026-01-14 21:16:53.972,0.23814335438429865,0.7869182334343492,0.05939050661426809,-0.38232140020358535,-0.9208727609564463,-0.07621386428404447,0.0038925525962975223,3.003468569757314,-0.06549228256550121,2.359089228602945,1.0,0,init,1
2026-01-14 21:16:54.022,0.24029486232978572,0.7854490802346117,0.05304251375071631,-0.39746319646463163,-0.9147502666535382,-0.0722962443063008,0.0053113249384755,3.012903858627285,-0.06723791613316235,2.3261396344783685,1.0,0,init,1
2026-01-14 21:16:54.072,0.2421985879585542,0.7843371977332544,0.04711271514659221,-0.4109535500202709,-0.9090422581662783,-0.06867838369958824,0.006529334277113485,3.0215279482451316,-0.06837138896672537,2.2965505262207495,1.0,0,init,1
2026-01-14 21:16:54.122,0.24393835623781362,0.7834582804710922,0.0413971836381577,-0.42300369324837256,-0.9037464205870185,-0.06521639559963778,0.007556753230088785,3.029608602297233,-0.06888679930592391,2.269920905620192,1.0,0,init,1
2026-01-14 21:16:54.172,0.24558245886997182,0.782798071961249,0.036008798894066496,-0.43374666764013714,-0.8988591830784612,-0.06200875155277148,0.008420928539320591,3.0369844381592164,-0.06898534018776244,2.246020860358646,1.0,0,init,1
2026-01-14 21:16:54.222,0.24695790607183613,0.7821273011489223,0.031004012582318635,-0.4424110353630899,-0.8948212869810688,-0.05902981622340946,0.009100601690721116,3.04361623150472,-0.06857143344815224,2.2266202280242027,1.0,0,init,1
2026-01-14 21:16:54.272,0.2485737453016463,0.7815143454095625,0.025578221905624032,-0.4497881801694155,-0.8913342016858614,-0.05586144389175322,0.00966607320695425,3.0503714754434923,-0.06753436209799032,2.2099971222451265,1.0,0,init,1
