timestamp,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,logging_active
2026-01-14 21:21:11.442,0.37139332882545706,0.8741676277637687,0.33859786298531275,-0.7240314366656416,-0.5932911419195857,-0.3143730810222168,0.15796729271668827,2.9521368931512755,-0.697982330156788,1.4420699046865169,1
2026-01-14 21:21:11.492,0.36800369001057126,0.8694045929887075,0.3226198513156327,-0.7276705527017302,-0.59510744353621,-0.3037503606111348,0.1551722133861622,2.966552383099709,-0.6773736299421228,1.432829861156966,1
2026-01-14 21:21:11.542,0.36407687305584974,0.8639126025406378,0.3045464809201565,-0.7315495190663157,-0.5970146919523895,-0.2920248866253361,0.15208623980589298,2.9818670660743405,-0.6546186496635892,1.4232901606610213,1
2026-01-14 21:21:11.592,0.3596383135312312,0.8577344920834324,0.2838905842660007,-0.7356429889092797,-0.5989787939454839,-0.2791885536246452,0.14868607465803146,2.9979489934960966,-0.6296795749724532,1.4135620618133637,1
2026-01-14 21:21:11.642,0.35479914866089146,0.8510277293020723,0.2614540875484057,-0.739686232050336,-0.60090255922743,-0.2659069175581686,0.14516853524030254,3.0139164842778507,-0.6038789590641569,1.4042976398687994,1
2026-01-14 21:21:11.692,0.3497429944850045,0.8439643508757799,0.23788502404551903,-0.7437335257488114,-0.6027590956673649,-0.2520487914932011,0.14146844868846029,3.0298996093028574,-0.5769343467117102,1.395337127921188,1
2026-01-14 21:21:11.742,0.34449821351242094,0.8366775027307511,0.21338911192324417,-0.7477935583255487,-0.6045559715300033,-0.23746406632809602,0.13757793652019096,3.04609396725009,-0.5486025099885151,1.3866396571580164,1
2026-01-14 21:21:11.792,0.33917883303716145,0.8292727437433859,0.18887958714651432,-0.7517146079443793,-0.60620444846609,-0.22269178585652408,0.13360270721427686,3.0618523717931274,-0.5198874341311276,1.3785158354801228,1
2026-01-14 21:21:11.842,0.33391946698476804,0.8220400217725574,0.16441960273208245,-0.7554169642053002,-0.6077452227949612,-0.20782267818378827,0.1296174710186432,3.0771650830725092,-0.49102989758612137,1.3711262291806956,1
2026-01-14 21:21:11.892,0.32886588629611646,0.8150668396663452,0.14074216591932862,-0.7588600802311501,-0.6090685317038496,-0.19331545973961278,0.1256822793609004,3.0915774576596524,-0.46284660603772726,1.364448670883817,1
2026-01-14 21:21:11.942,0.3240091449295697,0.8083664194056407,0.11741544626042291,-0.762078706456752,-0.6102414392801315,-0.1789313690172553,0.12175794073541246,3.1054131656649377,-0.43490368528966683,1.358401761174251,1
2026-01-14 21:21:11.992,0.319364001817928,0.8020652912437575,0.094814228212943,-0.7649988919621715,-0.6112716766850376,-0.1649456075225019,0.1179685514802376,3.1185387482454714,-0.40779714958346913,1.3530888182963139,1
2026-01-14 21:21:12.042,0.31513864401747627,0.7962211418390569,0.07308191833754984,-0.7676598699002875,-0.6121146188583461,-0.15150893954952516,0.11427623883009864,3.1307833640842126,-0.38171758117219967,1.348367966292792,1
2026-01-14 21:21:12.092,0.3112055189636541,0.790836803989554,0.05212716354659608,-0.7700696245382141,-0.6128096814144602,-0.13856593490864014,0.1107093013760648,-3.14086844320351,-0.35660869106268595,1.3442002674909361,1
2026-01-14 21:21:12.142,0.30744922512469713,0.7857628446231341,0.03204013621501442,-0.7722228171923872,-0.6133836852624316,-0.12616002610361454,0.10731273491467197,-3.129986707314194,-0.3325930413851447,1.3405745487729914,1
2026-01-14 21:21:12.192,0.3041227354898484,0.7811802256015843,0.013305541796002573,-0.7741123670190151,-0.6138096855746218,-0.1146605789551701,0.10411851303522744,-3.1201266427539402,-0.31029362040175046,1.3374611845744697,1
2026-01-14 21:21:12.242,0.3010852606416937,0.7770774794868534,-0.004172420951696787,-0.7757517094901412,-0.614139481693207,-0.10397187504197221,0.10115251578176108,-3.111085868925133,-0.28958677130305205,1.3348335406516,1
2026-01-14 21:21:12.292,0.29839555331253265,0.7733608260533558,-0.020163839886119528,-0.7771789094328799,-0.6143422402876275,-0.09425648208302678,0.09844932765860058,-3.1029619096220697,-0.2707679241562346,1.3325518840962194,1
2026-01-14 21:21:12.342,0.29617950132347753,0.7703084507746539,-0.0346467939596285,-0.7783687138025631,-0.614486409913735,-0.08560579384481319,0.09602210925027717,-3.0958350931583807,-0.25399657644892304,1.3307111879640585,1
2026-01-14 21:21:12.392,0.29400534375922277,0.7673619006301236,-0.04808884846044638,-0.7794051558905971,-0.6145835628243387,-0.07757721851157597,0.09378924482745023,-3.089243770981281,-0.23846446637493873,1.3291415327529486,1
2026-01-14 21:21:12.442,0.2917760803407088,0.7643204015587505,-0.06067576692343872,-0.7803556254928496,-0.6146146561482676,-0.06995846076480818,0.09165007352331588,-3.083057178325306,-0.2237050990970729,1.327701947302518,1
2026-01-14 21:21:12.492,0.2897281730263995,0.7615517429283813,-0.07226100382599707,-0.7811650386967508,-0.6146272092640768,-0.0629959042496887,0.08970001113668252,-3.077434003064402,-0.21022968256394567,1.3265194498601323,1
2026-01-14 21:21:12.542,0.28849471560618556,0.7598300486694909,-0.08214258852895605,-0.7817892318600586,-0.6146092912387032,-0.057391875092007195,0.08813165574379174,-3.0729257390900946,-0.19938828152711402,1.3256150207143031,1
2026-01-14 21:21:12.592,0.2896055615680261,0.7614287370786751,-0.08853508629238513,-0.782058671974719,-0.6145943569491983,-0.05489591088049441,0.08743253950298578,-3.07092433117464,-0.19455987958764295,1.325228486289116,1
